id,origin,destination,start_time,income,kind
0,0,0,35,388.2787303527966,Human
1,0,0,55,419.7646265090227,Human
2,0,0,80,449.0833195935783,Human
3,0,0,31,457.16351791608827,Human
4,0,0,40,473.5024380788758,Human
5,0,0,39,477.1303205766694,Human
6,0,0,52,508.6019702527906,Human
7,0,0,45,541.9839687696077,Human
8,0,0,73,566.7055292848979,Human
9,0,0,67,567.9518330451218,Human
10,0,0,38,583.3206434887895,Human
11,0,0,42,588.8906571209208,Human
12,0,0,29,597.1498506777683,Human
13,0,0,57,610.4868582393152,Human
14,0,0,58,615.3970356119416,Human
15,0,0,57,616.3739675020589,Human
16,0,0,39,626.2908344343901,Human
17,0,0,46,632.5893922142865,Human
18,0,0,63,636.6552097563458,Human
19,0,0,52,640.5426603936758,Human
20,0,0,85,646.5589615252754,Human
21,0,0,32,676.2529471816457,Human
22,0,0,91,736.5379020629116,Human
23,0,0,59,741.34301771214,Human
24,0,0,48,753.5670156580491,Human
25,0,0,60,753.7709081553346,Human
26,0,0,44,776.0711537761008,Human
27,0,0,65,801.7987355487146,Human
28,0,0,45,813.126641713825,Human
29,0,0,31,822.5771428470101,Human
30,0,0,51,827.3783452591958,Human
31,0,0,84,845.7864251007381,Human
32,0,0,58,849.0657401736111,Human
33,0,0,59,854.5785374972068,Human
34,0,0,49,857.6590975250949,Human
35,0,0,40,859.2772315809713,Human
36,0,0,44,863.3540159882258,Human
37,0,0,39,873.8892656114449,Human
38,0,0,56,877.2934597877683,Human
39,0,0,47,892.1845339920479,Human
40,0,0,53,902.2448599555772,Human
41,0,0,37,912.6272274022258,Human
42,0,0,34,923.9636394510808,Human
43,0,0,65,926.7012599248138,Human
44,0,0,43,938.3100494872764,Human
45,0,0,38,943.1907669438916,Human
46,0,0,34,946.1123250925148,Human
47,0,0,49,946.2003450753726,Human
48,0,0,30,948.3478854920526,Human
49,0,0,48,950.4213588862824,Human
50,0,0,85,954.0002559944874,Human
51,0,0,79,968.7072844723906,Human
52,0,0,58,978.4447105201264,Human
53,0,0,39,979.5720138781878,Human
54,0,0,7,985.8695826897422,Human
55,0,0,44,1014.5614647146556,Human
56,0,0,43,1017.530975349866,Human
57,0,0,40,1020.7360413649084,Human
58,0,0,33,1022.032321197676,Human
59,0,0,48,1040.734547163155,Human
60,0,0,70,1062.4074567339185,Human
61,0,0,68,1074.3823512953045,Human
62,0,0,21,1117.0806745336297,Human
63,0,0,46,1129.1321270070612,Human
64,0,0,62,1135.438045570021,Human
65,0,0,63,1150.4391077840953,Human
66,0,0,64,1194.3606142611325,Human
67,0,0,51,1200.7903182940884,Human
68,0,0,47,1234.5997004771,Human
69,0,0,45,1240.6560786390864,Human
70,0,0,36,1244.4027248274256,Human
71,0,0,42,1275.9312017726234,Human
72,0,0,33,1291.2118623687816,Human
73,0,0,44,1293.252850487379,Human
74,0,0,69,1301.8927857652438,Human
75,0,0,61,1310.9401185904849,Human
76,0,0,41,1317.647826688136,Human
77,0,0,79,1323.5149786113286,Human
78,0,0,27,1338.7213376931895,Human
79,0,0,57,1386.7650627050614,Human
80,0,0,33,1391.0507319816634,Human
81,0,0,65,1404.912317929139,Human
82,0,0,47,1421.705549214182,Human
83,0,0,29,1434.2863071033526,Human
84,0,0,51,1444.5182772575097,Human
85,0,0,48,1446.9812594843625,Human
86,0,0,38,1457.5875839824732,Human
87,0,0,71,1460.106853854364,Human
88,0,0,33,1460.8215047913693,Human
89,0,0,27,1467.6871321740252,Human
90,0,0,33,1474.807688008607,Human
91,0,0,40,1475.2077210572677,Human
92,0,0,61,1507.5005543882637,Human
93,0,0,49,1517.942512651984,Human
94,0,0,39,1519.7273932229994,Human
95,0,0,71,1541.4014724042315,Human
96,0,0,62,1546.5147326922538,Human
97,0,0,64,1567.0706205360798,Human
98,0,0,62,1579.1767070066765,Human
99,0,0,70,1581.4824060924602,Human
100,0,0,81,1587.6148581174584,Human
101,0,0,55,1588.8002265047048,Human
102,0,0,53,1592.6375082496468,Human
103,0,0,33,1594.6992934726818,Human
104,0,0,36,1596.1763216794554,Human
105,0,0,42,1597.8734280578535,Human
106,0,0,57,1614.9493849180149,Human
107,0,0,56,1626.914224999384,Human
108,0,0,29,1635.9686818612918,Human
109,0,0,43,1659.6531244520008,Human
110,0,0,40,1684.196745492046,Human
