id,origin,destination,start_time,income,kind
0,0,0,41,381.3218977270381,Human
1,0,0,40,477.1303205766694,Human
2,0,0,39,497.26542980048754,Human
3,0,0,72,508.6019702527906,Human
4,0,0,30,513.3463032142733,Human
5,0,0,14,522.2875039790788,Human
6,0,0,48,548.7192496267361,Human
7,0,0,60,610.4868582393152,Human
8,0,0,69,614.9217871931492,Human
9,0,0,56,615.3970356119416,Human
10,0,0,71,617.4453946714843,Human
11,0,0,55,626.2908344343901,Human
12,0,0,39,627.4062491148882,Human
13,0,0,55,632.5893922142865,Human
14,0,0,76,636.6552097563458,Human
15,0,0,28,639.9143284368583,Human
16,0,0,43,676.2529471816457,Human
17,0,0,19,682.056612603955,Human
18,0,0,44,741.34301771214,Human
19,0,0,45,743.7818724069466,Human
20,0,0,61,753.5670156580491,Human
21,0,0,57,761.8437659652793,Human
22,0,0,52,767.6170681366935,Human
23,0,0,39,779.0639592631991,Human
24,0,0,58,779.2240782816187,Human
25,0,0,55,802.5586880039084,Human
26,0,0,47,806.3598325453933,Human
27,0,0,53,807.7368269013535,Human
28,0,0,74,814.1496548969513,Human
29,0,0,24,816.2772675203604,Human
30,0,0,64,822.5771428470101,Human
31,0,0,37,825.4433072334436,Human
32,0,0,60,832.3173438658397,Human
33,0,0,40,835.7777612710734,Human
34,0,0,64,857.6590975250949,Human
35,0,0,66,863.3540159882258,Human
36,0,0,66,870.7377108213431,Human
37,0,0,52,871.0408974081768,Human
38,0,0,45,905.8209551718018,Human
39,0,0,46,921.9548251796884,Human
40,0,0,50,932.0432837729122,Human
41,0,0,23,932.1411738504048,Human
42,0,0,42,934.0011274976006,Human
43,0,0,72,938.3100494872764,Human
44,0,0,56,946.1123250925148,Human
45,0,0,0,946.2003450753726,Human
46,0,0,11,948.3478854920526,Human
47,0,0,61,954.0002559944874,Human
48,0,0,66,961.7772661313056,Human
49,0,0,60,978.4447105201264,Human
50,0,0,57,979.5720138781878,Human
51,0,0,48,979.573716991658,Human
52,0,0,59,985.8695826897422,Human
53,0,0,50,1014.5614647146556,Human
54,0,0,31,1017.530975349866,Human
55,0,0,74,1020.7360413649084,Human
56,0,0,42,1025.7249596144625,Human
57,0,0,66,1038.299283744561,Human
58,0,0,64,1040.734547163155,Human
59,0,0,38,1047.1205397958274,Human
60,0,0,64,1068.5648373754009,Human
61,0,0,61,1074.3823512953045,Human
62,0,0,51,1076.386102050743,Human
63,0,0,47,1097.8259349569896,Human
64,0,0,38,1111.987968807459,Human
65,0,0,46,1117.0806745336297,Human
66,0,0,15,1129.1321270070612,Human
67,0,0,42,1135.438045570021,Human
68,0,0,60,1141.0395517097602,Human
69,0,0,47,1148.2139867956057,Human
70,0,0,53,1150.2916000513435,Human
71,0,0,48,1150.4391077840953,Human
72,0,0,61,1194.3606142611325,Human
73,0,0,34,1244.4027248274256,Human
74,0,0,65,1249.5878531833848,Human
75,0,0,25,1260.6549751070208,Human
76,0,0,82,1261.43865123121,Human
77,0,0,81,1275.6237969650936,Human
78,0,0,43,1275.9312017726234,Human
79,0,0,55,1291.2118623687816,Human
