id,origin,destination,start_time,income,kind
0,0,0,36,381.3218977270381,Human
1,0,0,47,388.2787303527966,Human
2,0,0,68,465.3670128771111,Human
3,0,0,43,473.5024380788758,Human
4,0,0,75,491.0984231068265,Human
5,0,0,54,497.26542980048754,Human
6,0,0,54,522.440884226393,Human
7,0,0,50,539.5213747330826,Human
8,0,0,70,541.9839687696077,Human
9,0,0,58,542.8991684878858,Human
10,0,0,43,566.7055292848979,Human
11,0,0,38,586.3474640105957,Human
12,0,0,43,586.8516376274475,Human
13,0,0,35,591.6693204447811,Human
14,0,0,70,597.1498506777683,Human
15,0,0,49,600.3305173079323,Human
16,0,0,45,610.4868582393152,Human
17,0,0,78,616.3739675020589,Human
18,0,0,23,627.4062491148882,Human
19,0,0,57,636.6552097563458,Human
20,0,0,86,639.9143284368583,Human
21,0,0,33,640.5426603936758,Human
22,0,0,76,658.4091024775607,Human
23,0,0,46,676.2529471816457,Human
24,0,0,57,682.056612603955,Human
25,0,0,30,742.6585956180782,Human
26,0,0,47,743.7553910389753,Human
27,0,0,52,753.7709081553346,Human
28,0,0,89,776.0711537761008,Human
29,0,0,46,779.2240782816187,Human
30,0,0,37,783.6834518391023,Human
31,0,0,57,813.126641713825,Human
32,0,0,51,818.0604611907775,Human
33,0,0,34,822.5771428470101,Human
34,0,0,73,825.4433072334436,Human
35,0,0,44,837.3801312568858,Human
36,0,0,63,844.3352662229099,Human
37,0,0,73,854.5785374972068,Human
38,0,0,83,861.805442805673,Human
39,0,0,51,863.3540159882258,Human
40,0,0,51,863.5619359671642,Human
41,0,0,62,870.7377108213431,Human
42,0,0,46,877.2934597877683,Human
43,0,0,54,877.6907461205365,Human
44,0,0,57,881.2906222289953,Human
45,0,0,54,892.1845339920479,Human
46,0,0,63,904.859336063587,Human
47,0,0,49,912.6272274022258,Human
48,0,0,56,921.9548251796884,Human
49,0,0,26,933.6906207466446,Human
50,0,0,45,946.2003450753726,Human
51,0,0,27,961.7772661313056,Human
52,0,0,84,979.5720138781878,Human
53,0,0,73,985.8695826897422,Human
54,0,0,46,1005.9867386644172,Human
55,0,0,60,1022.032321197676,Human
56,0,0,39,1046.6558973464134,Human
57,0,0,80,1047.1205397958274,Human
58,0,0,77,1052.4070316009115,Human
59,0,0,38,1059.8377785859489,Human
60,0,0,71,1074.3823512953045,Human
61,0,0,52,1083.524948441525,Human
62,0,0,41,1097.8259349569896,Human
63,0,0,88,1104.4445206976068,Human
64,0,0,59,1111.987968807459,Human
65,0,0,39,1122.7546975855585,Human
66,0,0,61,1141.5133047894662,Human
67,0,0,56,1148.2139867956057,Human
68,0,0,57,1148.9174546898266,Human
69,0,0,43,1150.2916000513435,Human
70,0,0,64,1150.4391077840953,Human
71,0,0,42,1174.3503864217532,Human
72,0,0,16,1234.5997004771,Human
73,0,0,76,1251.6500609663929,Human
74,0,0,76,1261.43865123121,Human
75,0,0,39,1275.9312017726234,Human
