id,origin,destination,start_time,income,kind
0,0,0,63,417.8295094645922,Human
1,0,0,77,419.7646265090227,Human
2,0,0,3,437.8567856598078,Human
3,0,0,62,449.0833195935783,Human
4,0,0,22,513.3463032142733,Human
5,0,0,39,522.2875039790788,Human
6,0,0,36,541.9839687696077,Human
7,0,0,58,567.550811201735,Human
8,0,0,74,571.0932451196882,Human
9,0,0,70,572.7967315704935,Human
10,0,0,48,588.8906571209208,Human
11,0,0,36,597.1498506777683,Human
12,0,0,42,610.4868582393152,Human
13,0,0,58,614.9217871931492,Human
14,0,0,53,627.4062491148882,Human
15,0,0,47,639.9143284368583,Human
16,0,0,31,649.7132696839626,Human
17,0,0,62,720.4688823460104,Human
18,0,0,85,727.2326469992182,Human
19,0,0,66,736.5379020629116,Human
20,0,0,88,742.4887258523852,Human
21,0,0,77,743.7818724069466,Human
22,0,0,46,753.5670156580491,Human
23,0,0,41,753.7709081553346,Human
24,0,0,54,767.6170681366935,Human
25,0,0,61,802.5586880039084,Human
26,0,0,46,806.3598325453933,Human
27,0,0,52,832.3173438658397,Human
28,0,0,70,844.3352662229099,Human
29,0,0,66,845.7864251007381,Human
30,0,0,61,850.3216016091212,Human
31,0,0,56,859.2772315809713,Human
32,0,0,68,861.805442805673,Human
33,0,0,10,870.7377108213431,Human
34,0,0,55,877.2934597877683,Human
35,0,0,43,877.6907461205365,Human
36,0,0,23,881.2906222289953,Human
37,0,0,47,904.859336063587,Human
38,0,0,32,905.8209551718018,Human
39,0,0,71,913.5589076746268,Human
40,0,0,23,931.9887487728153,Human
41,0,0,41,938.3100494872764,Human
42,0,0,66,961.7772661313056,Human
43,0,0,24,968.7072844723906,Human
44,0,0,28,978.4447105201264,Human
45,0,0,50,979.5720138781878,Human
46,0,0,66,985.8695826897422,Human
47,0,0,42,1025.7249596144625,Human
48,0,0,31,1040.734547163155,Human
49,0,0,55,1059.8377785859489,Human
50,0,0,84,1062.4074567339185,Human
51,0,0,41,1076.386102050743,Human
52,0,0,25,1089.3140785512585,Human
53,0,0,49,1100.389953660579,Human
54,0,0,67,1104.4445206976068,Human
55,0,0,77,1117.0806745336297,Human
56,0,0,66,1129.1321270070612,Human
57,0,0,92,1141.5133047894662,Human
58,0,0,72,1148.9174546898266,Human
59,0,0,39,1194.3606142611325,Human
60,0,0,52,1200.7903182940884,Human
61,0,0,78,1234.5997004771,Human
62,0,0,96,1249.5878531833848,Human
63,0,0,33,1260.3927948639828,Human
64,0,0,51,1261.43865123121,Human
65,0,0,15,1267.69032506861,Human
66,0,0,39,1317.647826688136,Human
67,0,0,33,1323.5149786113286,Human
68,0,0,0,1365.417472605012,Human
69,0,0,10,1373.5659577718477,Human
70,0,0,53,1391.0507319816634,Human
71,0,0,70,1404.912317929139,Human
72,0,0,53,1434.4967426379471,Human
73,0,0,41,1446.9812594843625,Human
74,0,0,35,1447.5744631551047,Human
75,0,0,43,1460.106853854364,Human
76,0,0,41,1485.5718097438446,Human
77,0,0,50,1490.1599361877834,Human
78,0,0,22,1496.328062426438,Human
79,0,0,36,1503.4428459110418,Human
80,0,0,64,1526.0895405694364,Human
81,0,0,47,1530.0661682302475,Human
82,0,0,48,1538.317647081207,Human
83,0,0,63,1546.5147326922538,Human
84,0,0,30,1581.438059619256,Human
85,0,0,29,1587.6148581174584,Human
86,0,0,65,1592.2311391495805,Human
87,0,0,9,1628.9397076974285,Human
88,0,0,75,1645.9523587482854,Human
89,0,0,58,1653.1781197118603,Human
90,0,0,71,1659.6531244520008,Human
91,0,0,61,1661.9571573900298,Human
92,0,0,50,1664.0464513081895,Human
93,0,0,47,1682.490559712908,Human
94,0,0,54,1703.2333497257905,Human
95,0,0,10,1717.0377309640771,Human
96,0,0,47,1723.69240549938,Human
97,0,0,25,1778.835052690156,Human
98,0,0,74,1782.711710770346,Human
99,0,0,58,1797.659883656486,Human
100,0,0,41,1830.3424648913517,Human
101,0,0,36,1836.592480640456,Human
